NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_HINDBRAIN_DEVELOPMENT	137		Rejected!	
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	65		Rejected!	
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	12		Rejected!	
GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST	16		Rejected!	
GO_CHROMOSOME_SEGREGATION	272	16		
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	32		Rejected!	
GO_ETHER_METABOLIC_PROCESS	12		Rejected!	
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	98		Rejected!	
GO_CYTOKINE_METABOLIC_PROCESS	17		Rejected!	
GO_ANTEROGRADE_AXONAL_TRANSPORT	26		Rejected!	
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	52		Rejected!	
GO_STEROID_BIOSYNTHETIC_PROCESS	114	16		
GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	35		Rejected!	
GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	23		Rejected!	
GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	61		Rejected!	
GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION	44		Rejected!	
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	97		Rejected!	
GO_N_GLYCAN_PROCESSING	20		Rejected!	
GO_INORGANIC_ION_IMPORT_INTO_CELL	15		Rejected!	
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	23		Rejected!	
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	54		Rejected!	
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	20		Rejected!	
GO_MEMBRANE_DEPOLARIZATION	61		Rejected!	
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	15		Rejected!	
GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	25		Rejected!	
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	14		Rejected!	
GO_REGULATION_OF_LYASE_ACTIVITY	86		Rejected!	
GO_RESPONSE_TO_NITROGEN_COMPOUND	859	95		
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	87		Rejected!	
GO_REGULATION_OF_DNA_RECOMBINATION	58		Rejected!	
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	206	22		
GO_RESPONSE_TO_ETHANOL	136		Rejected!	
GO_SULFUR_COMPOUND_METABOLIC_PROCESS	359	40		
GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN	11		Rejected!	
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT	29		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	17		Rejected!	
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION	86		Rejected!	
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	135		Rejected!	
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	52		Rejected!	
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	14		Rejected!	
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	20		Rejected!	
GO_NUCLEOTIDE_PHOSPHORYLATION	61		Rejected!	
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	78		Rejected!	
GO_GLUTAMATE_SECRETION	28		Rejected!	
GO_REGULATION_OF_MRNA_METABOLIC_PROCESS	118	26		
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	73		Rejected!	
GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS	17		Rejected!	
GO_REGULATION_OF_VASCULOGENESIS	13		Rejected!	
GO_LENS_FIBER_CELL_DIFFERENTIATION	25		Rejected!	
GO_SENSORY_PERCEPTION	938	21		
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	128	20		
GO_FATTY_ACID_CATABOLIC_PROCESS	73		Rejected!	
GO_REGULATION_OF_VESICLE_FUSION	62		Rejected!	
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS	56		Rejected!	
GO_REGULATION_OF_LIPID_STORAGE	41		Rejected!	
GO_CARBOHYDRATE_TRANSPORT	95	15		
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	229	21		
GO_EMBRYONIC_HEMOPOIESIS	20		Rejected!	
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	554	40		
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	94		Rejected!	
GO_RESPONSE_TO_IONIZING_RADIATION	145	16		
GO_PROTEIN_EXPORT_FROM_NUCLEUS	30		Rejected!	
GO_EPITHELIUM_DEVELOPMENT	945	97		
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION	16		Rejected!	
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	20		Rejected!	
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	14		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	30		Rejected!	
GO_NUCLEAR_ENVELOPE_REASSEMBLY	17		Rejected!	
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	30		Rejected!	
GO_REGULATION_OF_AUTOPHAGY	249	20		
GO_PHOSPHOLIPID_METABOLIC_PROCESS	364	40		
GO_AMMONIUM_ION_METABOLIC_PROCESS	169	25		
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	31		Rejected!	
GO_NCRNA_CATABOLIC_PROCESS	22		Rejected!	
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION	106		Rejected!	
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	20		Rejected!	
GO_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE	35		Rejected!	
GO_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	15		Rejected!	
GO_REGULATION_OF_RNA_STABILITY	139	34		
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	11		Rejected!	
GO_REGULATION_OF_CELL_MATURATION	18		Rejected!	
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	303	17		
GO_MAMMARY_GLAND_MORPHOGENESIS	40		Rejected!	
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	122	18		
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	18		Rejected!	
GO_URETER_DEVELOPMENT	11		Rejected!	
GO_BODY_MORPHOGENESIS	44		Rejected!	
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	66		Rejected!	
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	42		Rejected!	
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	13		Rejected!	
GO_PROTEIN_ACTIVATION_CASCADE	99		Rejected!	
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	53		Rejected!	
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	39		Rejected!	
GO_REGULATION_OF_COLLATERAL_SPROUTING	18		Rejected!	
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	16		Rejected!	
GO_NEURON_RECOGNITION	33		Rejected!	
GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	84		Rejected!	
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	41		Rejected!	
GO_RESPONSE_TO_AMMONIUM_ION	51		Rejected!	
GO_REGULATION_OF_INTERLEUKIN_5_PRODUCTION	19		Rejected!	
GO_REGULATION_OF_GLUCOSE_IMPORT	60		Rejected!	
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	329	36		
GO_PINOCYTOSIS	13		Rejected!	
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	59		Rejected!	
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	18		Rejected!	
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	64		Rejected!	
GO_LUNG_EPITHELIUM_DEVELOPMENT	34		Rejected!	
GO_METENCEPHALON_DEVELOPMENT	100		Rejected!	
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	49		Rejected!	
GO_CELLULAR_RESPONSE_TO_VIRUS	22		Rejected!	
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	13		Rejected!	
GO_RESPIRATORY_GASEOUS_EXCHANGE	48		Rejected!	
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	139	24		
GO_AMINO_ACID_ACTIVATION	52		Rejected!	
GO_DENDRITIC_CELL_DIFFERENTIATION	33		Rejected!	
GO_NATURAL_KILLER_CELL_DIFFERENTIATION	12		Rejected!	
GO_BONE_TRABECULA_MORPHOGENESIS	11		Rejected!	
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	19		Rejected!	
GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	148		Rejected!	
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION	191		Rejected!	
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	50		Rejected!	
GO_MUSCLE_TISSUE_DEVELOPMENT	275	22		
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	11		Rejected!	
GO_ACID_SECRETION	66		Rejected!	
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	73		Rejected!	
GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	63		Rejected!	
GO_REGULATION_OF_PROTEIN_BINDING	168		Rejected!	
GO_CARDIAC_SEPTUM_DEVELOPMENT	85		Rejected!	
GO_REGULATION_OF_ICOSANOID_SECRETION	20		Rejected!	
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	31		Rejected!	
GO_REGULATION_OF_HISTONE_METHYLATION	56		Rejected!	
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	14		Rejected!	
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	52		Rejected!	
GO_EPIDERMIS_MORPHOGENESIS	29		Rejected!	
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS	43		Rejected!	
GO_COGNITION	251		Rejected!	
GO_RESPONSE_TO_ZINC_ION	55		Rejected!	
GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	15		Rejected!	
GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM	26		Rejected!	
GO_AXIS_SPECIFICATION	90		Rejected!	
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	193		Rejected!	
GO_CELL_PART_MORPHOGENESIS	633	26		
GO_PIGMENT_GRANULE_LOCALIZATION	25		Rejected!	
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	14		Rejected!	
GO_RESPONSE_TO_ORGANOPHOSPHORUS	139	21		
GO_AXO_DENDRITIC_TRANSPORT	37		Rejected!	
GO_SINGLE_ORGANISM_MEMBRANE_FUSION	128		Rejected!	
GO_REGULATION_OF_PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	103	16		
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION	27		Rejected!	
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	42		Rejected!	
GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	68		Rejected!	
GO_ORGAN_REGENERATION	83		Rejected!	
GO_GLAND_MORPHOGENESIS	97		Rejected!	
GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	37		Rejected!	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	14		Rejected!	
GO_RIBOSOME_BIOGENESIS	308	101		
GO_B_CELL_HOMEOSTASIS	21		Rejected!	
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	56		Rejected!	
GO_SINGLE_ORGANISM_BEHAVIOR	384	21		
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	26		Rejected!	
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	114		Rejected!	
GO_MRNA_SPLICE_SITE_SELECTION	26		Rejected!	
GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	19		Rejected!	
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1493	135		
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	33		Rejected!	
GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	23		Rejected!	
GO_DENDRITIC_CELL_MIGRATION	21		Rejected!	
GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS	21		Rejected!	
GO_LYSOSOMAL_TRANSPORT	70		Rejected!	
GO_CELLULAR_CATABOLIC_PROCESS	1322	227		
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	59		Rejected!	
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	12		Rejected!	
GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	76		Rejected!	
GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	68		Rejected!	
GO_MUSCLE_ORGAN_DEVELOPMENT	277	19		
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS	163	16		
GO_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	14		Rejected!	
GO_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	16		Rejected!	
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	40		Rejected!	
GO_CELLULAR_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR_STIMULUS	25		Rejected!	
GO_LEUKOCYTE_DEGRANULATION	30		Rejected!	
GO_MYELOID_CELL_HOMEOSTASIS	88		Rejected!	
GO_REGULATION_OF_BLOOD_PRESSURE	169		Rejected!	
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	53		Rejected!	
GO_RESPONSE_TO_ELECTRICAL_STIMULUS	43		Rejected!	
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE	12		Rejected!	
GO_REGULATION_OF_T_CELL_CHEMOTAXIS	11		Rejected!	
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY_INVOLVED_IN_NEURAL_TUBE_CLOSURE	14		Rejected!	
GO_REGULATION_OF_CYTOKINE_PRODUCTION	563	59		
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	83		Rejected!	
GO_REGULATION_OF_CHOLESTEROL_HOMEOSTASIS	11		Rejected!	
GO_VENTRICULAR_SEPTUM_MORPHOGENESIS	28		Rejected!	
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	11		Rejected!	
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	15		Rejected!	
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	36		Rejected!	
GO_TOLERANCE_INDUCTION	12		Rejected!	
GO_CHEMICAL_HOMEOSTASIS	874	87		
GO_SYNAPSE_ORGANIZATION	145		Rejected!	
GO_METANEPHROS_DEVELOPMENT	81		Rejected!	
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	243	18		
GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY	64		Rejected!	
GO_ENDOSOME_ORGANIZATION	62		Rejected!	
GO_REGULATION_OF_WOUND_HEALING	126	18		
GO_REGULATION_OF_MAPK_CASCADE	660	46		
GO_DEVELOPMENTAL_PROGRAMMED_CELL_DEATH	26		Rejected!	
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	26		Rejected!	
GO_MYELOID_LEUKOCYTE_MIGRATION	99		Rejected!	
GO_COLLAGEN_FIBRIL_ORGANIZATION	38		Rejected!	
GO_POSITIVE_REGULATION_OF_NEURON_DEATH	67		Rejected!	
GO_RESPONSE_TO_ESTRADIOL	146	16		
GO_CORONARY_VASCULATURE_DEVELOPMENT	37		Rejected!	
GO_CARTILAGE_DEVELOPMENT	147		Rejected!	
GO_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	101		Rejected!	
GO_NEURON_PROJECTION_EXTENSION	53		Rejected!	
GO_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	48		Rejected!	
GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	42		Rejected!	
GO_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	31		Rejected!	
GO_RESPONSE_TO_MUSCLE_STRETCH	19		Rejected!	
GO_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	13		Rejected!	
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	138		Rejected!	
GO_RESPONSE_TO_COLD	43		Rejected!	
GO_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	11		Rejected!	
GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1	88		Rejected!	
GO_CIRCULATORY_SYSTEM_PROCESS	366	26		
GO_REGULATION_OF_VASODILATION	48		Rejected!	
GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	34		Rejected!	
GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	12		Rejected!	
GO_RESPONSE_TO_COCAINE	46		Rejected!	
GO_CELL_CHEMOTAXIS	162		Rejected!	
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	18		Rejected!	
GO_RIBONUCLEOTIDE_CATABOLIC_PROCESS	28		Rejected!	
GO_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	14		Rejected!	
GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	101	23		
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	19		Rejected!	
GO_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY	37		Rejected!	
GO_REGULATION_OF_PROSTAGLANDIN_SECRETION	13		Rejected!	
GO_REGULATION_OF_PODOSOME_ASSEMBLY	14		Rejected!	
GO_REGULATION_OF_CELLULAR_SENESCENCE	26		Rejected!	
GO_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS	12		Rejected!	
GO_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	26		Rejected!	
GO_RESPONSE_TO_AMINE	48		Rejected!	
GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT	50		Rejected!	
GO_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	41		Rejected!	
GO_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16		Rejected!	
GO_PROTEIN_HOMOTETRAMERIZATION	59		Rejected!	
GO_IMMUNE_SYSTEM_PROCESS	1984	169		
GO_HEART_TRABECULA_MORPHOGENESIS	26		Rejected!	
GO_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY	18		Rejected!	
GO_VESICLE_LOCALIZATION	224	15		
GO_NITRIC_OXIDE_METABOLIC_PROCESS	15		Rejected!	
