NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
IDI1	1	Idi1	
CKMT1A	1	Ckmt1	
ANP32B	1	Anp32b	
HSPA8	1	Hspa8	
RPL14	1	Rpl14	
RPL32	1	Rpl32	
PROM1	1	Prom1	
SERPINB6	1	Serpinb6a	
HNRNPK	1	Hnrnpk	
RPL22	1	Rpl22	
RAN	1	Ran	
PLSCR1	1	Plscr1	
MPZL2	1	Mpzl2	
LAMC2	1	Lamc2	
DTYMK	1	Dtymk	
KRT20	1	Krt20	
RPS16	1	Rps16	
B4GALT6	1	B4galt6	
HNRNPAB	1	Hnrnpab	
ANXA7	1	Anxa7	
ABHD2	1	Abhd2	
RPL27A	1	Rpl27a	
CPNE3	1	Cpne3	
EIF2S2	1	Eif2s2	
KLF6	1	Klf6	
PPP1R1B	1	Ppp1r1b	
SPRR1A	1	Sprr1a	
RPS19	1	Rps19	
LAD1	1	Lad1	
VDAC2	1	Vdac2	
DSC2	1	Dsc2	
MALL	1	Mall	
POR	1	Por	
RPL38	1	Rpl38	
RRAS2	1	Rras2	
C15orf48	1	AA467197	
ARF6	1	Arf6	
RPS15	1	Rps15	
TOMM7	1	Tomm7	
TMPO	1	Tmpo	
NONO	1	Nono	
PERP	1	Perp	
RPL36A	1	Rpl36a	
LSM7	1	Lsm7	
GAPDH	1	Gapdh	
CAPZA2	1	Capza2	
RBP1	1	Rbp1	
REG3G	1	Reg3g	
BOK	1	Bok	
ELAVL1	1	Elavl1	
HNRNPU	1	Hnrnpu	
PGLYRP1	1	Pglyrp1	
TOMM22	1	Tomm22	
RPS20	1	Rps20	
HIF1A	1	Hif1a	
ATP5MF	1	Atp5j2	
CLIC1	1	Clic1	
COX5B	1	Cox5b	
PA2G4	1	Pa2g4	
SF3B5	1	Sf3b5	
RPL37A	1	Rpl37a	
ELOVL6	1	Elovl6	
AVPI1	1	Avpi1	
LBR	1	Lbr	
GLO1	1	Glo1	
TMOD3	1	Tmod3	
TUBA1B	1	Tuba1b	
H2AZ1	1	H2afz	
TOMM70	1	Tomm70a	
EIF3B	1	Eif3b	
COX6B1	1	Cox6b1	
HNRNPA1	1	Hnrnpa1	
BLVRB	1	Blvrb	
SDCBP2	1	Sdcbp2	
MT-CYB	1	mt-Cytb	
EPCAM	1	Epcam	
GNB1	1	Gnb1	
TOMM20	1	Tomm20	
TPM3	1	Tpm3	
CDV3	1	Cdv3	
DGAT2	1	Dgat2	
HDGF	1	Hdgf	
CLDN2	1	Cldn2	
LSM5	1	Lsm5	
METAP2	1	Metap2	
CAPZA1	1	Capza1	
MRPL12	1	Mrpl12	
CYCS	1	Cycs	
ACTN1	1	Actn1	
TMEM253	1	Tmem253	
RPL13	1	Rpl13	
TALDO1	1	Taldo1	
TES	1	Tes	
ABHD17C	1	Abhd17c	
C1QBP	1	C1qbp	
RPL35A	1	Rpl35a	
NDUFC1	1	Ndufc1	
MRPL57	1	Mrpl57	
HERPUD1	1	Herpud1	
RUNDC3A	1	Rundc3a	
CTSV	1	Ctsl	
C1GALT1C1	1	C1galt1c1	
MANF	1	Manf	
FRYL	1	Fryl	
SLC51A	1	Slc51a	
LGALS4	1	Lgals4	
RAB27B	1	Rab27b	
IFI27L2	1	Ifi27l2b	
NPDC1	1	Npdc1	
DNAJC10	1	Dnajc10	
SERINC3	1	Serinc3	
SLC43A2	1	Slc43a2	
CA8	1	Car8	
PLA2G10	1	Pla2g10	
NUCB1	1	Nucb1	
B2M	1	B2m	
UBB	1	Ubb	
JUN	1	Jun	
PDCD4	1	Pdcd4	
CDKN1A	1	Cdkn1a	
PDIA3	1	Pdia3	
ITM2C	1	Itm2c	
TCEAL9	1	Tceal9	
GUK1	1	Guk1	
SELENOK	1	Selenok	
ELAPOR1	1	5330417C22Rik	
ANO7	1	Ano7	
ASPH	1	Asph	
KRTCAP2	1	Krtcap2	
GPX3	1	Gpx3	
TMEM176B	1	Tmem176b	
HSPA5	1	Hspa5	
GALNT7	1	Galnt7	
RNASE4	1	Rnase4	
KCTD12	1	Kctd12	
TPSG1	1	Tpsg1	
QSOX1	1	Qsox1	
GALNT6	1	Galnt6	
HLA-E	1	H2-Q2	
SLC15A1	1	Slc15a1	
LRRC26	1	Lrrc26	
KDELR2	1	Kdelr2	
P4HB	1	P4hb	
TMED3	1	Tmed3	
CRIP1	1	Crip1	
ENPEP	1	Enpep	
SLC6A19	1	Slc6a19	
SSR4	1	Ssr4	
PPIB	1	Ppib	
INSM1	1	Insm1	
CREB3L1	1	Creb3l1	
CD74	1	Cd74	
CD63	1	Cd63	
CST3	1	Cst3	
BCAS1	1	Bcas1	
CLEC2D	1	Clec2h	
SMIM24	1	Smim24	
WARS1	1	Wars	
HLA-A	1	H2-K1	
SH3BGRL3	1	Sh3bgrl3	
MALAT1	1	Malat1	
CALR	1	Calr	
REEP5	1	Reep5	
S100A13	1	S100a13	
MCF2L	1	Mcf2l	
EGR1	1	Egr1	
STARD10	1	Stard10	
RAP1GAP	1	Rap1gap	
NEUROD1	1	Neurod1	
HGFAC	1	Hgfac	
RASA4	1	Rasa4	
SYTL2	1	Sytl2	
FOSB	1	Fosb	
PIGR	1	Pigr	
SLC5A1	1	Slc5a1	
FOXA3	1	Foxa3	
CAMK2N1	1	Camk2n1	
FER1L6	1	Fer1l6	
ATOH1	1	Atoh1	
CCL23	1	Ccl6	
TSPAN13	1	Tspan13	
RAMP1	1	Ramp1	
R3HDML	1	R3hdml	
RGS2	1	Rgs2	
SLC12A8	1	Slc12a8	
APOA1	1	Apoa1	
KLF4	1	Klf4	
SMIM6	1	Smim6	
CPE	1	Cpe	
KLK1	1	Klk1	
SPDEF	1	Spdef	
SI	1	Sis	
CLPS	1	Clps	
GUCA2B	1	Guca2b	
SMIM14	1	Smim14	
MUC3A	1	Muc3a	
ATP2A3	1	Atp2a3	
CD24	1	Cd24a	
TPH1	1	Tph1	
ANPEP	1	Anpep	
GUCA2A	1	Guca2a	
APOC3	1	Apoc3	
PCSK1N	1	Pcsk1n	
TXNDC5	1	Txndc5	
LGALS2	1	Lgals2	
SPINK1	1	Spink1	
ITLN1	1	Itln1	
SELENOP	1	Selenop	
HEPACAM2	1	Hepacam2	
CHGA	1	Chga	
NUPR1	1	Nupr1	
MMP7	1	Mmp7	
DEFA3	1	Defa24	
REG4	1	Reg4	
FABP2	1	Fabp2	
SELENOM	1	Selenom	
FABP6	1	Fabp6	
LYZ	1	Lyz1	
CCK	1	Cck	
CHGB	1	Chgb	
CLCA1	1	Clca1	
AGR2	1	Agr2	
SCT	1	Sct	
FCGBP	1	Fcgbp	
MUC2	1	Muc2	
TFF3	1	Tff3	
SPINK4	1	Spink4	
ZG16	1	Zg16	
