NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
NDUFA5	1	Ndufa5	
ACSL5	1	Acsl5	
CGREF1	1	Cgref1	
MOGAT2	1	Mogat2	
ECH1	1	Ech1	
SLC2A2	1	Slc2a2	
NDUFV2	1	Ndufv2	
MTCH2	1	Mtch2	
DDC	1	Ddc	
CYP2D6	1	Cyp2d26	
PSMB10	1	Psmb10	
MT-CYB	1	mt-Cytb	
HAGH	1	Hagh	
DUOXA2	1	Duoxa2	
CASP3	1	Casp3	
LGALS2	1	Lgals2	
DEFA3	2	Defa30:Defa24	
UQCRFS1	1	Uqcrfs1	
MT-CO3	1	mt-Co3	
COX5A	1	Cox5a	
EPHX2	1	Ephx2	
OAT	1	Oat	
ALDH1A1	1	Aldh1a1	
ALDOB	1	Aldob	
UQCRC2	1	Uqcrc2	
MME	1	Mme	
ATP5PB	1	Atp5f1	
ATP5F1C	1	Atp5c1	
OTC	1	Otc	
ACE	1	Ace	
NDUFB10	1	Ndufb10	
ATP5MC1	1	Atp5g1	
NDUFA12	1	Ndufa12	
CYC1	1	Cyc1	
CYP2B6	1	Cyp2b10	
KHK	1	Khk	
ACO2	1	Aco2	
MGST3	1	Mgst3	
ATP5F1A	1	Atp5a1	
MT-ATP6	1	mt-Atp6	
LPGAT1	1	Lpgat1	
UQCRC1	1	Uqcrc1	
SLC26A6	1	Slc26a6	
SDHB	1	Sdhb	
GLOD5	1	Glod5	
PRXL2A	1	Fam213a	
CHPT1	1	Chpt1	
PAPSS2	1	Papss2	
PLA2G4C	1	Pla2g4c	
MT-ND1	1	mt-Nd1	
CBR1	1	Cbr1	
ATP5F1B	1	Atp5b	
CASP6	1	Casp6	
FBLN1	1	Fbln1	
IFI27L2	1	Ifi27l2b	
CDA	1	Cda	
CKB	1	Ckb	
CHCHD10	1	Chchd10	
PSMB8	1	Psmb8	
CKMT1A	1	Ckmt1	
CA4	1	Car4	
FTH1	1	Fth1	
FABP1	1	Fabp1	
MDH2	1	Mdh2	
MDH1	1	Mdh1	
PRDX1	1	Prdx1	
DHRS1	1	Dhrs1	
PIGR	1	Pigr	
GPX2	1	Gpx2	
HLA-DRB1	1	H2-Eb1	
PPA1	1	Ppa1	
DNASE1	1	Dnase1	
HLA-DQB2	1	H2-Ab1	
MT-ND3	1	mt-Nd3	
ARG2	1	Arg2	
LCT	1	Lct	
HLA-DQA1	1	H2-Aa	
MT-ND2	1	mt-Nd2	
CD74	1	Cd74	
REG1A	1	Reg1	
